alternativlos
zunehmend
immer weniger
noch nie dagewesen
letztlich
bekanntlich
im Wortsinne
das politische Berlin
Berliner Verhältnisse
Grundrechenarten beherrschen
Dammbruch
schiefe Ebene
Zitterpartie
Rettungspaket
Rettungsschirm
offenes Geheimnis
Politikversagen
Krisengipfel
Koalitionsfrieden
Koalitionschaos
Dialog
Dialogprozess
Chaostage
Realitätsverweigerung
\w* gibt den \w*
\w* ist \w* auf Speed
\w* ist für \w*, was \w* für \w* ist
Bedenkenträger
Hoffnungsträger
Armutszeugnis
Fenster der Möglichkeiten
Gesetz der Schwerkraft
ultimativ
das öffnet \w* Tür und Tor
das öffnet Tür und Tor
schwächelt
bleibt abzuwarten
muss sich erweisen
muss sich fragen lassen, ob
es ist noch zu früh
dafür ist es zu spät
gilt es zur Kenntnis zu nehmen, dass
politisches Sommertheater
Raumschiff Brüssel
Raumschiff Berlin
Saure-Gurken-Zeit
gefühlt
nur recht und billig
so wird ein Schuh draus
man kann sich nur wundern
man fragt sich zu Recht
man fasst sich an den Kopf
man fasst es nicht
erlebt eine Renaissance
sein blaues Wunder
Ja, es ist wahr
am deutschen Wesen
deutsche Identität
Deutschland muss
die Bundesregierung muss
die Weltwirtschaft
die internationale Gemeinschaft
die Mehrheitsgesellschaft
die Netzgemeinde
die muslimische Community
moderate Muslime
Gemeinschaft der Demokraten
die Genossen
die Konservativen
der rein* Populismus
ein Stück aus dem Tollhaus
gerade in Deutschland
ausgerechnet hier
ein Blick in die Geschichte lehrt
geschichtsvergessen
spottet jeder Beschreibung
in atemberaubender Geschwindigkeit
macht kleine Münze aus
kleines Karo
großes Kino
spricht Hohn
spottet jeder Beschreibung
feiert fröhliche Urständ
in jedweder Hinsicht
recht verstanden
last but not least
kann und muss
Soll und Haben
Strich und Faden
trotz oder gerade wegen
böse Zungen behaupten
man spürt ein Aufatmen
es wäre ein Leichtes
wehret den Anfängen
schlußendlich
künstliche Aufregung
der Wähler hat gesprochen
das unbekannte Wesen
\w* wäre nicht \w*, wenn sie nicht
\w* wäre nicht \w*, wenn er nicht
die unbekannte Variable
der Mainstream
unheilvolle Dynamik
stiefmütterlich behandelt
hart gesotten
weichgespült
in den Sand gesetzt
Milchmädchenrechnung
Gretchenfrage
Knackpunkt
Streitpunkt
das kleine Einmaleins
herunterbrechen
wirft die Frage auf
mit letzter Sicherheit lässt sich sagen
mit an Sicherheit grenzender Wahrscheinlichkeit
was sagt es über eine Gesellschaft, dass
die unbequeme Wahrheit
unrühmliches Ende
\w* wird abgestraft
\w* erhält die Quittung
galt als ausgemacht
würde niemanden überraschen
Anlass zur Sorge
der Zug ist abgefahren
am Ende des Tages
Gutmensch
historische Schuld
Last der Vergangenheit
fieberhaft
vorkonziliar
hinter vorgehaltender Hand
der blanke Zynismus
konservativ
Reform
Rosinenpicken
